followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
1636,575,5,2,0.3125,0
62,229,0,0,0.4166666666666666,1
374,925,0,0,0.07222222222222223,0
525,699,1,2,0.125,0
347,592,0,0,0.32666666666666666,1
187,323,0,0,-0.5,1
232,98,0,1,0.0,0
10,9,0,1,0.0,0
37785,15505,0,0,0.5,1
10634,4308,0,1,0.0,0
1314,32,1,1,0.3541666666666667,1
5794,4061,0,0,0.0,0
4898,1286,1,3,0.5,1
111,138,0,2,0.0,0
3002,2951,3,1,0.0,0
33,171,1,0,0.0,0
466,181,0,1,0.0020833333333333537,2
0,27,0,1,0.5,1
17454,4455,1,0,0.13636363636363635,1
236,242,0,0,0.0,0
18083,18694,0,0,0.0,0
16696,3671,0,0,-0.13333333333333333,2
291,8,0,0,0.0,0
267,35,0,0,0.14999999999999994,1
532,164,0,2,0.1,1
2,0,0,1,0.225,2
1776,115,1,2,-0.09999999999999998,2
2860,920,0,1,0.0,0
610,424,0,2,0.0,0
3440,334,1,2,0.625,1
352,1934,1,1,0.0,0
177,314,0,2,0.06666666666666665,2
175,144,0,2,0.2857142857142857,1
3402,177,0,0,-0.03571428571428571,0
2353,2053,2,10,-0.8,2
109,138,0,0,0.15,0
109,138,0,0,0.35000000000000003,2
62738,1036,4,5,0.13749999999999998,2
40,42,0,0,0.5,1
154,178,0,7,0.0,0
431,362,0,4,0.2,0
294,344,1,1,0.0,1
537,275,0,0,0.0,0
187,323,0,0,0.25,0
2024,266,1,2,0.0,0
45,17,0,3,0.0,0
126,683,0,0,0.0,0
10336,1,1,1,0.0,0
1932,1212,1,0,0.0,0
2230,2557,0,2,0.75,2
1989,537,0,0,0.0,0
302,241,0,0,-0.033333333333333326,2
588,409,0,2,0.1875,2
92,352,0,0,0.0,0
3258,2948,4,17,0.04545454545454545,0
29598,19432,0,0,0.0,0
1189,428,2,2,0.0,0
2554,2150,1,1,0.4,2
73,369,0,0,0.0,0
18,378,0,0,0.0,0
344,1147,0,0,0.5,2
17767,15488,0,0,0.25,1
2554,2150,2,1,-0.1869047619047619,2
398,513,0,0,0.0,0
2922,2925,0,0,0.0,0
257,380,1,0,-0.16666666666666666,0
637,390,0,0,0.3,0
2401,524,0,0,0.3,0
16,16,0,1,0.016666666666666666,0
274,138,0,0,0.0,0
116898,1240,3,4,-0.15,0
104953,3404,1,3,0.35714285714285715,1
97394,98593,2,1,0.11818181818181818,1
1165,384,0,0,0.0,0
2745,1662,0,1,0.0,0
1479,1962,1,0,0.6,2
20717,4232,0,3,0.0,0
28167,3579,2,2,0.0,0
240,1673,0,0,0.17500000000000004,2
2734,4927,0,0,-0.1111111111111111,2
789,989,2,2,0.25,2
1462,3089,0,0,-0.225,0
282,315,0,0,0.0,0
2984402,1198,33,111,0.5,1
