followers count,friends count,retweet count,favorite count,subjectivity,PolarityClass
68950,29686,3,0,0.0,1
1222,75,0,0,0.6333333333333334,1
91,33,0,0,0.0,1
547,459,0,2,0.5,2
97394,98593,4,5,0.6666666666666667,2
3002,2951,2,1,0.0,1
119,510,0,0,0.5,2
6303,160,1,0,0.0,1
244,338,1,2,0.5555555555555555,2
59648,12847,0,2,0.0,1
11,72,0,0,0.4545454545454545,1
27516,2554,0,8,0.5611111111111111,2
0,37,0,0,0.0,1
525,699,0,0,0.4,1
525,699,0,0,0.0,1
1230,775,0,0,0.3333333333333333,2
399,1084,0,0,0.0,1
525,699,0,1,0.4,1
359,344,0,0,0.5,2
525,699,1,1,0.4,1
108,177,0,0,1.0,1
615,100,0,0,0.4666666666666666,1
5356,4107,0,0,0.25,2
8797,2908,5,7,0.06666666666666668,1
547,459,0,0,0.5357142857142857,2
699,399,1,2,0.0,1
525,699,0,0,0.4,1
525,699,0,0,0.4,1
426,727,1,1,0.30000000000000004,2
1488,2188,0,0,0.55,1
2230,2557,0,1,1.0,2
525,699,1,1,0.4,1
96,85,0,0,0.0,1
2120,382,0,2,0.0,1
2481,83,0,6,0.27,1
3867,2441,0,1,0.0,1
3,51,0,0,1.0,1
19959,4521,5,11,0.1,1
6552,5,7,14,0.0,1
26,10,0,0,0.0,1
28,19,0,0,0.0,1
30,15,0,0,0.0,1
19,9,0,0,0.0,1
1557229,1268,0,5,0.3,1
656,212,0,3,0.3221428571428572,2
434,666,0,0,0.4,0
129,450,0,0,0.0,1
352,327,5,3,0.0,1
1311,1057,2,4,1.0,2
3727,4658,0,0,0.1875,1
124974,1110,3,4,0.375,1
4229,2391,0,3,0.9,2
17,35,0,1,0.34444444444444444,0
4313,698,8,11,0.0,1
137,141,0,1,0.0,1
6508,1599,2,0,0.0,1
19503,4310,1,1,0.3,1
121306,102,35,172,0.21428571428571427,1
9169,1896,0,1,0.3,1
114399,294,5,23,0.45,2
660,1956,0,0,0.0,1
1656,136,0,1,0.0,1
5877,493,0,1,0.5,1
3034,116,4,9,0.4375,1
79079,142,4,6,0.1,1
13259,11295,0,0,0.4545454545454545,1
10265,3332,0,0,0.6,2
5328,1053,0,0,0.6,2
4871,651,0,0,0.6,2
87,379,3,1,0.0,1
16,19,0,0,0.0,1
2863,2363,1,0,0.0,1
19927,504,2,4,0.25,1
3886,1638,6,11,0.7,2
684,1062,0,0,0.2222222222222222,1
4326,2143,4,3,0.6428571428571429,2
4227,137,4,5,0.0,1
62814,1710,6,12,0.0,1
11468,1392,0,3,0.4,1
240,1673,0,2,0.15,1
1811,1248,4,6,0.0,1
482,2218,0,0,0.5,2
10336,1,2,0,0.9,2
6644,2903,0,0,0.3333333333333333,0
56865,49918,13,6,0.875,1
198,477,0,0,0.7129629629629629,2
1713,369,0,1,0.0,1
2750,402,0,1,0.15,1
4501,3943,0,1,0.45,1
1464,602,0,0,0.03333333333333333,1
1160,1689,0,0,0.21428571428571427,1
1599,2994,4,4,0.2,1
36,371,0,0,0.4555555555555556,2
1436,1180,0,11,0.5,2
91,33,1,0,0.4,0
57,46,0,0,0.0,1
971,1632,0,2,0.5,2
684,1062,0,0,0.5,1
327,204,1,2,0.0,1
946,2735,0,1,0.0,1
684,1062,0,0,0.0,1
820,256,0,0,0.5,1
162,132,0,0,0.5,1
762,165,0,0,0.8,2
70718,2060,5,33,0.0,1
20,110,0,0,0.5,1
682,399,0,5,0.4,1
55731,5314,9,6,0.43333333333333335,1
26748,1857,0,2,0.5,2
1468,236,0,0,0.5,2
8448,865,0,2,0.28484848484848485,1
499889,560,84,273,0.275,1
122,37,1,0,0.2772727272727273,1
1034,944,0,0,0.0,1
63,32,0,0,0.0,1
2230,2557,0,2,1.0,2
1614,233,0,0,0.0,1
514,767,0,0,0.0,1
392,2365,0,1,0.2833333333333333,1
12863,534,0,0,0.0,1
5136,2031,0,1,0.2222222222222222,1
99,93,0,0,1.0,1
352,1934,0,2,1.0,2
22404,824,22,41,0.5,1
3774,1462,12,17,0.0,1
40,372,0,0,0.75,2
1181,572,0,6,0.6015151515151514,2
1317,1604,1,0,0.0,1
12371,1074,1,0,0.7070707070707071,1
727,878,1,3,0.0,1
7,19,2,1,0.0,1
7,15,0,2,0.0,1
1317,1094,0,0,0.5,2
57,107,0,2,0.4,2
86,354,0,0,0.5324074074074073,1
187,229,0,0,0.0,1
3228,2603,3,2,0.0,1
277,358,0,0,0.0,1
496,578,0,0,0.1,1
718,625,0,0,0.4,1
3196,2687,0,3,0.5,2
23,8,0,0,0.0,1
3002,2951,2,1,0.0,1
40,372,1,0,0.0,1
3713,2947,0,3,0.375,1
206,609,2,2,0.525,2
174,408,0,0,0.1,1
461,233,0,0,0.0,1
461,233,0,0,1.0,1
18248,1275,6,7,0.8,2
11497,1907,0,0,0.2,2
4830,723,1,2,0.5,1
343,135,0,2,0.0,1
80,189,0,0,0.6000000000000001,2
3537,3474,0,0,0.0,1
461,233,0,0,0.0,1
6303,160,0,0,0.0,1
151492,21,5,11,0.0,1
461,233,0,0,0.5,2
2174,761,0,0,0.3333333333333333,2
461,233,0,2,0.0,1
461,233,0,1,0.6166666666666666,2
461,233,0,2,0.3333333333333333,2
1642,2832,0,0,0.0,1
10480,2024,0,1,0.2272727272727273,1
124,753,0,0,0.6083333333333334,1
4871,651,0,0,0.0,1
10265,3332,1,2,0.0,1
5328,1053,1,0,0.0,1
29,56,0,0,0.4772727272727273,1
278,881,0,0,0.5,2
89,22,1,5,0.0,1
461,233,1,2,0.0,1
461,233,1,0,0.0,1
16878,644,1,2,0.6,1
16,57,0,0,0.35,1
461,233,0,1,0.0,1
461,233,1,1,0.1,1
100,132,0,0,0.95,1
1234,731,2,1,0.6363636363636364,2
2750,402,5,3,0.3333333333333333,1
1642,2832,0,1,0.6666666666666666,1
89,22,0,4,0.7916666666666666,1
3457,4876,1,0,0.6875,0
449,569,0,1,0.0,1
79,513,0,2,0.0,1
1627,1159,1,6,0.25,1
8518,2626,1,3,0.25,1
1642,2832,4,7,0.0,1
461,233,1,1,0.2,2
1602,1859,0,0,0.21428571428571427,1
164,253,2,1,0.5,2
461,233,0,0,0.5,2
461,233,0,0,0.5,2
6406,9998,0,0,0.6888888888888888,0
461,233,0,0,0.3,1
20,101,0,2,0.475,1
450,1606,0,0,0.0,1
3002,2951,0,0,0.3,1
3653,1104,0,0,0.0,1
461,233,0,0,1.0,1
461,233,1,1,0.0,1
185,173,1,11,0.9,2
461,233,1,1,1.0,1
7467,2058,4,7,0.0,1
180,53,0,0,0.5,2
13919,7672,0,0,0.5,2
461,233,1,1,1.0,1
2230,2557,0,0,1.0,2
250,609,0,1,1.0,2
1932,1212,1,0,0.2,1
461,233,1,1,0.0,1
2458,276,4,3,0.0,1
173,344,0,0,0.6,1
64,849,0,1,0.75,2
461,233,0,0,0.0,1
852,202,1,0,0.25,1
342,473,0,0,0.4022222222222222,1
3518,2776,1,0,1.0,1
2002,3354,5,7,0.0,1
10779,161,1,2,0.21428571428571427,1
1582,1058,0,1,0.06666666666666668,1
4485,5,0,0,0.0,1
358,385,0,1,0.575,1
19,51,0,0,0.6666666666666666,0
51,269,0,0,0.7,0
367,526,2,4,0.25,1
52,172,0,1,0.0,1
493,1226,0,0,0.0,1
241,745,0,1,0.0,1
5095,58,0,8,0.2285714285714286,1
182,404,1,1,0.8111111111111112,2
262,690,0,0,0.7333333333333333,2
39210,27897,2,6,0.7,1
290,278,1,0,0.4666666666666667,1
461,233,0,0,1.0,2
550,243,1,2,0.5,0
3545,2985,0,0,0.43,2
128,662,0,0,0.0,1
1872,1196,1,2,0.06666666666666668,1
5362,90,4,19,0.5,0
1448,723,2,2,0.0,1
78,114,0,0,0.6666666666666666,2
280,729,0,1,0.25,1
48238,47956,1,0,0.0,1
241,181,0,0,0.5,2
922,611,2,2,1.0,2
1795,4950,0,0,0.5399999999999999,1
2804,20,3,15,0.0,1
434,361,0,0,0.0,1
53,341,0,0,0.25,1
1298,1352,0,0,0.0,1
3518,2776,2,1,0.7,2
73099,398,3,4,1.0,1
8086,212,0,0,0.3,2
1315,299,1,7,0.3737373737373737,1
388,667,0,0,0.0,1
1181,572,0,0,0.95,2
1549,1684,0,0,0.5333333333333333,1
2166,601,0,1,0.5,2
51431,39968,69,108,0.0,1
226,704,0,0,0.0,1
23,31,0,0,0.0,1
5044,5544,0,1,0.4545454545454545,1
89,73,2,3,0.0,1
31,19,0,0,0.0,1
90,79,0,0,0.06666666666666668,1
461,233,3,3,0.0,1
71,64,1,1,0.3833333333333333,1
1197,66,2,0,0.25,1
315,1066,0,0,0.0,1
461,233,3,1,0.0,1
9391,51,0,0,0.4545454545454545,1
99,2301,0,0,0.21428571428571427,1
4849,275,27,57,0.625,2
205,534,2,3,0.0,1
193,326,0,1,0.25,2
114,156,0,0,0.5,1
2299,679,0,0,0.0,1
124,24,0,0,0.0,1
10779,161,0,1,0.28484848484848485,1
221,668,0,0,0.24722222222222226,1
142,213,0,1,0.0,1
1201,1238,0,0,0.3,1
4066,485,0,0,0.3,2
307,2,0,0,0.3,2
2263,32,0,0,0.21428571428571427,1
100,142,0,0,0.0,1
3012,1113,0,0,0.0,1
870,908,0,0,0.0,1
26,56,0,0,0.4125,1
1412,3942,1,1,0.0,1
3012,1113,0,0,0.0,1
260,947,0,0,0.375,1
2230,2557,0,3,1.0,2
