followers count,friends count,retweet count,favorite count,PolarityClass,subjectivity
28,253,0,0,,1
77780,7060,36,93,,1
10,57,0,0,,0.666666667
6333,6092,0,5,,0
291,257,0,0,,0.2
120,515,0,0,,0
216,130,1,0,,0.575
1431,683,0,0,,0
8,41,0,0,,0.454545455
307731,2046,621,1401,,1
16430,16030,3,3,,0
645,1406,0,0,,0.625
890,746,17,28,,0.75
105,416,0,1,,0
62,243,0,0,,0.454545455
10,57,0,0,,0.666666667
2012,762,0,1,,0
12,60,0,2,,0
22,38,0,0,,1
1530,2573,0,0,,0.541666667
2812,4127,2,26,,0.283333333
19,57,0,0,,1
907,1283,0,0,,0.6
111550,368,6,27,,0.383333333
442,877,0,2,,0
619,836,0,1,,0.616666667
11882,12332,0,1,,0.454545455
925,425,0,0,,0.2
105,303,0,0,,0.744444444
1449,8,0,0,,0
12,60,0,1,,0
30777,26200,28,62,,0.1
12,60,0,1,,0
3,12,0,0,,0
371,456,0,0,,0
44769,971,4,18,,0
175,484,0,1,,0.75
83413,76918,3,3,,0.5
635,298,0,13,,0.625
62,19,0,0,,0.415178571
184,288,1,1,,0
25980,27616,0,1,,0
661,1131,0,0,,0.55
12,34,0,0,,0
25,146,0,0,,0.2
4265,3992,0,3,,0.541666667
10,61,1,4,,0.45
7974,8764,0,0,,0
395,5000,0,0,,0.5
994,883,0,0,,0.7
212,159,0,1,,0.45
401,813,0,2,,0
2991,687,1,1,,0.3
43,50,0,0,,0.427272727
1637,4023,2,2,,0
231,257,0,1,,0
217,98,0,0,,0.9
62,410,0,0,,0
1492,704,4,11,,0.4
13823,12105,7,30,,0
3646,4722,0,3,,0.3
27718,18279,3,17,,0.341666667
19,35,0,0,,0
41,255,0,2,,0
27,247,0,0,,0.75
100,254,0,0,,0.75
113,114,0,0,,0.541666667
3,57,0,0,,0
1085,1931,1,0,,0.533333333
108,267,0,0,,0.5
10,141,0,5,,0.55
26,150,0,0,,0.2
793,2078,0,0,,0.3
4556,382,9,23,,0.4
78201,732,0,0,,0.305555556
0,5,0,0,,0.833333333
6079,3729,0,0,,0.25
3828,4951,4,17,,0.9
561,1575,1,0,,0
16489,684,0,0,,0
7987,7783,0,0,,0.6
471,490,1,3,,0.5
716,167,0,1,,0.390833333
666,885,0,0,,0.55
732,714,0,0,,0.2
147,389,0,0,,0.6
2835,439,0,2,,0.566666667
6052,6034,1,6,,0.875
154,453,0,0,,0
59,410,0,0,,0
7567,8315,11,26,,0
173,176,0,0,,0
29,185,0,1,,0.6
1349,4229,0,1,,0
263,266,0,0,,0
732,714,0,0,,0.6
477,488,0,0,,0.433333333
773,1325,0,0,,0.55
1,33,0,1,,0
211300,984,0,4,,1
110,291,0,0,,0.4
81757,101,2,26,,0.694444444
2389,2761,1,6,,0.066666667
834,206,0,0,,0.833333333
788,29,8,17,,0
371,180,0,7,,0.544444444
212,189,0,0,,0.6
233,277,0,0,,0
33,496,0,0,,0.833333333
1694,1708,0,0,,0.3
233,277,0,0,,0
233,277,0,0,,0
158,79,0,0,,1
729,465,0,1,,0
6,4,0,0,,0
4880,3849,1,1,,0.7
1971,810,1,4,,0.36875
335,200,0,0,,0
4647,477,8,8,,0
154,278,0,0,,0.4
6103,6206,36,23,,0
1786,549,0,0,,0.6
732,714,0,0,,0.3125
4133,946,1,1,,0
21663,1090,0,0,,0
17,2,0,0,,0
110,125,1,2,,0.3
1680,1911,0,0,,0.6
217,997,0,0,,0.6
137,224,1,3,,0.1
4389,1398,1,0,,0.3
8356,2728,1,0,,0.3
4759,3238,0,0,,0.3
1379,2442,1,2,,1
116,576,0,1,,0.3
26533,4045,2,5,,0.9
206,1411,0,0,,0.9
126,727,0,0,,0
1423,2321,0,0,,0.5
384,206,0,0,,1
14463,803,0,1,,0
527,89,0,7,,0.766666667
11,145,0,0,,0.454545455
14362,3370,4,14,,0.4625
248,264,0,3,,0.575
8271,3436,0,3,,0
718,1758,0,1,,0
3334,2760,0,1,,0
84405,5631,138,658,,0
9300,4062,0,2,,0.4625
608,764,0,0,,0.214285714
109435,356,17,61,,0.5
63,54,0,0,,0
2154,475,3,5,,0.6
13,21,0,0,,0
233,463,0,0,,0
26,100,1,1,,1
12123,1163,0,0,,0.433333333
7846,6683,0,0,,0.5
90,356,0,0,,0.6
69,471,0,0,,0
146,30,0,2,,0.333333333
748,147,1,1,,0.6475
6625,3727,5,5,,0
1572681,1775,733,3360,,0.85
98,219,0,0,,0
2649,4567,0,0,,0.3125
3301,3009,0,0,,0
163,960,0,0,,0
1228,990,0,0,,0.3
103332,5077,1068,6581,,0.5
116098,246,2,4,,0.2625
687037,1302,1073,4179,,0.251515152
321,1151,0,0,,0.55
11374,1182,73,535,,0.5
3341,3765,1,0,,0.6
409,917,0,0,,0
27,212,0,0,,0.125
27983,6635,0,4,,0.3
3121,2256,0,2,,0.3
3991,3135,0,0,,0.5
45502,40169,6,11,,0.5
698,1574,0,0,,0.6
1302,2264,0,0,,0
6849,6981,0,1,,0.75
15,123,0,0,,0.4
2273,796,1,10,,0.966666667
7919,869,2,15,,0.4
3345,4615,0,1,,0
1034,973,0,0,,0
285,5,0,0,,0.3
29,179,0,2,,0.428571429
440,497,0,0,,0.435714286
87,938,0,0,,0.454545455
13206,13222,7,9,,0
70,512,0,1,,0
29593,24914,6,11,,0
2792,2759,0,1,,0.366666667
3410,849,0,1,,0.5
55,101,0,0,,0.75
167257,3375,61,151,,0
2811,888,0,2,,0.1
1809,3655,6,11,,0.55
129,112,0,2,,1
50,1947,1,1,,0
287,1046,260,328,,0
19671,6605,26,47,,0
871,2188,0,0,,0.454545455
107,48,0,0,,1
959,912,0,0,,0.2
114886,21924,59,222,,0
2528,1129,0,0,,0
3241,4955,0,2,,0.5
35236,1003,7,53,,0.65
187523,420,0,6,,0
288,5001,0,0,,1
6160,6760,0,1,,0
0,0,0,0,,0.5
14759,6497,0,0,,0
590,684,0,5,,0.7
8777,1319,6,11,,0.3
15,86,1,1,,0.2
6661,4116,3,50,,0.25
62,404,0,2,,0.2
812,941,0,1,,1
8607,9429,2,1,,0.888888889
6224,956,3,5,,0
2512,217,46,97,,0.888888889
286,409,0,1,,0.454545455
448,1153,0,3,,0
6204,6806,0,7,,0.225
17744,2281,2,0,,0.517857143
800,2458,0,0,,0.25
79,214,0,0,,0.325
33653,1392,2,21,,1
6103,6206,123,112,,0.916666667
319578,552,1796,10067,,0
53,47,0,0,,0.1
5497,2946,0,1,,0.7
609,982,1,3,,0.5625
184,386,0,0,,0.6
1,14,0,0,,0.525
3890,4047,0,1,,0.553968254
2123,1619,2,6,,0.4625
20446,1091,55,121,,0.459848485
2522,2112,0,0,,0.233333333
8538,1242,0,2,,0.283333333
0,0,1,1,,0.3
430,518,1,1,,0
96,313,0,0,,0
630,779,0,0,,0.1
6186,5688,5,44,,0.033333333
65616,33893,21,35,,0
1271794,14487,70,275,,0.4
57,185,0,0,,0
31,12,0,1,,0
1397,152,1,1,,0
3422,129,2,7,,0.266666667
1694,1699,0,0,,0.1
2522,2112,1,0,,0.3
5507,6039,0,2,,0
9627,2395,2,1,,0.6
857,2478,0,0,,0
114,366,0,0,,0.3
421,1046,0,5,,0
10292,1957,7,28,,0.591666667
4566,5018,7,12,,0.454545455
859,356,0,1,,0
1694,1699,0,0,,0.1
5758,1152,0,3,,0.6125
1530,2573,0,0,,0
110,356,1,30,,0.5
576,373,0,0,,0.4875
418,770,2,5,,0.556313131
6665,6684,6,9,,0
38568,42428,5,8,,0
4,32,0,0,,0
63,378,0,0,,0.65
20,28,0,3,,0
9,23,0,0,,0
7284,7732,7,30,,1
63,378,0,0,,0.65
9,23,0,0,,0.5
4198,960,16,20,,0.3
9,23,0,0,,0.5
73922,38390,60,154,,0.5
366,566,0,0,,0.75
4012,4850,0,0,,0.6875
28561,2503,0,0,,0
2223,851,1,3,,0.2
352,78,0,2,,0
72,215,0,0,,0.608928571
1,56,0,0,,1
11807,12812,3,17,,0
222,330,0,0,,0.7125
9,23,0,1,,0
12289,12626,0,0,,0.5
53888,12975,0,0,,0.6875
1,59,0,0,,0
2403,2401,0,0,,0.6875
10240,10124,0,0,,0.6875
175,515,0,3,,0.625
141198,290,165,567,,0.75
109860,45852,183,532,,0
19276,1094,146,216,,0.3
6033,6338,6,10,,0.55
44,42,0,0,,0.333333333
1529,1783,1,6,,0.3
28057,2065,8,16,,0.4625
111,1287,0,0,,0.6
467,89,0,3,,0
15616,15897,16,17,,0
2504,3097,0,1,,1
272,434,0,1,,0.6
203,872,0,0,,0.6
385,623,0,0,,0.6
11017,2376,1,6,,0
552,424,0,0,,0.6
1569,1500,0,0,,0.95
13600,2967,0,0,,0.428571429
215,976,0,0,,0.535714286
3539,3936,0,0,,0
33,38,3,6,,0.3
78858,176,225,647,,0.333333333
0,22,0,0,,0.9
4628,5035,0,0,,0
652,3587,1,1,,0.322222222
523,99,0,0,,0.75
2667,4363,0,1,,0
659,821,0,5,,0.263636364
4966,415,0,7,,0.6
3451,5002,0,1,,0.305555556
53,163,0,0,,0.2125
7092,2646,0,0,,0
11,10,0,0,,0
1714,1792,0,0,,0.6
2177,4937,1,1,,0.6
1470,1112,1,1,,0.716666667
1382,1030,0,0,,0
119,208,0,0,,0
73343,3804,29,113,,0.833333333
19778,21752,0,0,,0
40458,1371,13,82,,0
16489,684,0,0,,0.3
449,103,0,2,,0.75
18942,6929,10,75,,0.05
4569,1097,0,1,,0
1604,2179,0,0,,0.6
43,36,0,1,,0.3
87,203,0,0,,0.5
1930,166,0,1,,0.3
45,65,0,0,,0.454545455
5473,254,0,0,,0.066666667
24,256,0,0,,0
784,1436,0,0,,0.6
4560,4322,0,0,,0
456,457,0,1,,0.6
22,38,0,0,,1
35592,540,1,0,,0.3
4628,5035,0,0,,0
462,2242,2,1,,0
36,40,0,0,,0.5
2012,400,5,6,,0.689285714
6672,506,0,0,,0.458333333
3671,187,3,12,,0.291666667
1965,2068,0,0,,0.5
33751,952,9,13,,0.5
16489,684,0,0,,0
1078,789,0,2,,0.5
1,9,0,0,,1
1018,532,3,9,,0.594444444
33697,29494,0,0,,0.6
287,331,0,4,,1
46,430,0,0,,0
11526,808,71,383,,0
65,848,0,0,,0.6
1030,333,2,2,,0.454545455
22,38,0,0,,1
5553,5225,0,0,,0
324,1134,0,1,,0
5730,5595,15,25,,0.4
117,774,0,0,,0
148041,908,16,170,,0.633333333
11,16,0,1,,0.377272727
450,156,0,1,,0
363,592,1,1,,0.466666667
179,54,0,1,,0.4
3121,2256,2,7,,0.78
1462,2422,0,2,,0
1432,4090,0,0,,0.454545455
713,468,1,1,,0
72,139,0,0,,0.45
115,353,0,0,,0
1539,1571,0,5,,0
451,848,0,0,,0
23247,2416,12,43,,0
6115,1233,0,1,,0.1
153,72,0,2,,0.540740741
105,1311,0,0,,0
329203,3548,13,136,,0.291666667
408,580,0,0,,0.15
943,1138,0,1,,1
234,634,0,0,,0.333333333
685,512,2,2,,0.65
465,401,0,1,,0.571428571
9,32,0,0,,0.142857143
1510,1524,0,0,,0.6
34,33,0,1,,0.244444444
58,151,0,0,,0.05
586,626,0,0,,0.35
48368,1005,9,19,,0.6
415,7,0,0,,0.5
1928,1759,2,5,,0.571428571
197,292,2,2,,0.2
11593,1825,0,0,,0
2631,4588,1,3,,0.275
22,38,0,0,,1
284,1346,0,0,,0
2707,5002,0,1,,0.357142857
22757,4631,0,2,,0
383,1314,14,48,,0.066666667
22,38,0,0,,1
519,143,1,0,,0.666666667
0,3,0,1,,0.7
224519,100815,3,5,,0.35
338,639,0,0,,0
4075,3898,1,5,,0.076923077
3462140,522,11,27,,0
174783,2846,590,1874,,0.2
282,1548,0,0,,0
3,12,0,0,,0.333333333
1162,2198,3,6,,0.066666667
1200,1467,1,2,,0.6
574,524,0,0,,0.6
414,1044,1,5,,0.6
171,333,0,0,,0.6
2,29,0,0,,0.6
1195,1081,0,0,,0.454545455
1249,757,0,0,,0
198,237,0,0,,0.25
498,576,0,1,,0
3210,4493,0,0,,0
1065,745,0,1,,0
195247,525,47,174,,0
72,290,1,1,,0
4890,5211,1,0,,0.535714286
1428,1587,0,0,,0.6
3,60,0,0,,0
5123,5112,6,10,,0.6
11306,11313,22,111,,0.25
261,319,0,0,,1
177,938,0,0,,0.84375
252,612,0,0,,0.1
17938,15117,4,14,,1
14127,7744,0,0,,0.1
11,153,0,0,,0.2
934,1142,0,0,,0.454545455
3733,3876,0,0,,0.55
126,421,0,0,,0.6
5,1,0,0,,0
102,368,0,1,,0.625
158,304,0,0,,1
3634,1690,1,4,,1
3942,3813,0,1,,0.65
231,676,0,1,,0
2136,2627,0,1,,0.5
2732,758,0,0,,0
4083,3913,0,0,,0.3
194,443,0,0,,0.5
118,336,0,0,,0
2522,2112,0,0,,0.6
1010,1420,0,0,,0.227272727
93,394,0,0,,0.6
119550,106541,3,13,,0
14,69,0,0,,0
93,170,0,0,,0.5
31149,26683,7,9,,0.6
2753,2821,0,1,,0
23544,2384,11,16,,0.377272727
31149,26683,4,5,,0.6
130384,1768,145,1096,,0
1625,1935,1,4,,0
55,280,0,0,,0
31149,26683,2,1,,0.6
1327,859,0,0,,0.5
31149,26683,1,1,,0.6
5494,5966,1,2,,0.6
5094,5018,0,0,,0.454545455
945,1177,0,0,,0.5
960,1383,8,9,,0.4
775,677,0,1,,0.454545455
3722,4084,0,6,,0
109723,2264,13,83,,0.6
126,752,0,0,,0.142857143
2543,727,4,12,,1
433034,1113,281,1345,,0.357142857
283569,255,18,56,,0
2148,2182,0,0,,0
160,272,0,0,,0
1588,355,0,1,,0.7
267,1096,0,0,,0.55
167257,3375,11,21,,0.225
607,1322,0,0,,0
23,179,0,1,,0.325
68068,69627,50,37,,0.1
240,267,0,0,,0.5
3659,5002,0,0,,0
21525,9878,0,3,,0.6
2487,2335,0,0,,0.3
194,443,0,0,,0.5
1211,678,0,1,,0.427272727
2747,2852,0,0,,0.454545455
619,535,1,1,,0
120,669,0,1,,0.6
326,873,1,1,,0.333333333
6411,2397,0,2,,0.4
5,14,0,0,,0.7
937,164,0,0,,0
1351,1388,0,1,,0.55
868,3542,0,0,,0.176136364
1446,643,0,0,,0.9
84,325,0,0,,0.6
749,2944,0,0,,0.142857143
355,1173,0,0,,0.2
258,722,0,0,,0
3754797,6984,17,32,,0.5
29,42,0,0,,0
1313,302,0,0,,0
374,209,0,0,,0.125
339,416,0,1,,0.75
10129,10810,1,3,,0.044444444
399,1708,0,0,,0.454545455
39850,15155,5,6,,0
15224,3495,1,1,,0
3416,719,0,2,,0.125
835,1181,0,0,,0.6
28484,2221,0,1,,0
53042,39639,0,2,,0.7
329416,185440,0,2,,0.35
2869,26,0,0,,0.6
207,137,0,1,,0.3
712,265,0,0,,0
48,144,0,0,,0.6
16139,2261,4,24,,0
3858,4622,2,2,,0.1
99,430,0,1,,0.37
29,169,0,0,,0.5
230,1435,0,0,,0.6
960,2559,0,0,,0.6
2339,5006,0,0,,0.6
45,41,0,1,,0
0,22,0,0,,1
945,1848,1,3,,0.541666667
2506,1331,4,5,,1
177817,3656,51,130,,0
246,480,0,0,,0
410,1377,0,0,,0.15
178,718,0,0,,0
1932,442,5,5,,0.433333333
983,1696,0,0,,0.6
683,1347,0,0,,0.571428571
83,91,0,0,,0.666666667
111,229,0,0,,0.342857143
604,324,0,0,,0
14189,13389,6,6,,0.4
1553,1945,1,3,,0.333333333
49,97,0,0,,0.648333333
9,97,0,0,,0.454545455
116686,939,16,29,,0
123,279,0,0,,0.3
1165,950,0,0,,0.3625
1889,1347,0,0,,0.6
20,232,0,0,,0.454545455
310,5003,0,1,,0.6
227434,11086,59,203,,0.5
310,1189,0,1,,0
421,999,0,0,,0.468253968
315,464,0,0,,0.2
1083,2565,0,0,,0.5
3040,4649,0,0,,0.454545455
3364,899,0,2,,0.454545455
885,930,0,0,,0
3440,4629,0,0,,0.57
180767,46985,13,28,,0.5
6858,1523,0,1,,0.433333333
34174,730,0,0,,0
9,225,0,0,,1
492,555,0,0,,0
50059,671,6,8,,0.566666667
28384,26036,6,4,,0.6
78,80,0,0,,1
16,53,0,0,,0.267857143
163,15,0,0,,0
2536,1348,0,0,,0
4246,4905,0,1,,0
19428,1737,4,11,,1
7620,8370,0,0,,0.425
109435,356,29,126,,0.75
104,540,0,0,,0.6
11518,12673,0,0,,0.6
121,116,1,1,,0.4375
56261,2139,5,19,,0
2262,2742,3,13,,0.454545455
588305,73,0,2,,0
166563,1582,150,904,,0.3
88344,31246,11,10,,0.6
93,333,1,0,,0.5
248,1007,0,0,,1
1860,53,1,0,,0.377272727
1604,3040,0,1,,0
146,198,0,0,,0
2645,4177,0,0,,0.55
16,189,0,0,,0
97,1368,0,0,,0.35
168,111,0,1,,0
119,735,0,0,,0.142857143
272,179,0,1,,0.7
7,28,0,0,,0.5
1151,2110,0,0,,0.6
5912,6293,1,0,,1
80,15,0,0,,0
45,337,0,0,,0.625
2229,5000,0,0,,0.142857143
8494,7544,1,0,,0.454545455
1566,2213,0,0,,0.6125
630,142,4,4,,0
211,77,0,0,,0
5227,5737,0,0,,0.6
814,1063,0,0,,0.1
1036,2850,0,0,,0.55
14,94,0,0,,0.525
117,217,0,0,,0
474,618,0,0,,0.4
22,38,0,0,,1
1752,2976,0,0,,0.1
993,501,0,0,,0.5
78866,2411,286,811,,0
332078,2829,30,160,,0.466666667
8870,3160,3,20,,0.378571429
62684,66169,91,260,,0
622,1282,0,0,,0.5
36305,25989,0,0,,0.6
14179,2029,10,23,,0
1213,2822,0,0,,0.966666667
12929,14103,1,2,,0
3592,1316,3,7,,0
