followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
35236,1003,7,53,0.35,
187523,420,0,6,0,
288,5001,0,0,-0.666666667,
6160,6760,0,1,0,
0,0,0,0,0,
14759,6497,0,0,0,
590,684,0,5,0.05,
8777,1319,6,11,0.1,
15,86,1,1,-0.3,
6661,4116,3,50,-0.15,
62,404,0,2,0.2,
812,941,0,1,0.9,
8607,9429,2,1,0.5,
6224,956,3,5,0,
2512,217,46,97,0.5,
286,409,0,1,0.136363636,
448,1153,0,3,0,
6204,6806,0,7,0.0625,
17744,2281,2,0,0.142857143,
800,2458,0,0,0,
79,214,0,0,0.525,
33653,1392,2,21,-0.8,
6103,6206,123,112,0.716666667,
319578,552,1796,10067,0,
53,47,0,0,-0.1,
5497,2946,0,1,-0.35,
609,982,1,3,0.3625,
184,386,0,0,0.3,
1,14,0,0,0.175,
3890,4047,0,1,-0.217460317,
2123,1619,2,6,-0.3625,
20446,1091,55,121,0.245454545,
2522,2112,0,0,-0.066666667,
8538,1242,0,2,-0.25,
0,0,1,1,-0.316666667,
430,518,1,1,0,
96,313,0,0,0,
630,779,0,0,0,
6186,5688,5,44,0,
65616,33893,21,35,0,
1271794,14487,70,275,0.3,
57,185,0,0,0,
31,12,0,1,0,
1397,152,1,1,0,
3422,129,2,7,0.133333333,
1694,1699,0,0,0,
2522,2112,1,0,0.2,
5507,6039,0,2,0,
9627,2395,2,1,0.5,
857,2478,0,0,0,
114,366,0,0,0.1,
421,1046,0,5,0,
10292,1957,7,28,0.316666667,
4566,5018,7,12,0.136363636,
859,356,0,1,0,
1694,1699,0,0,0,
5758,1152,0,3,0.5375,
1530,2573,0,0,0,
110,356,1,30,0.068181818,
576,373,0,0,-0.2125,
418,770,2,5,0.344949495,
6665,6684,6,9,0,
38568,42428,5,8,0,
4,32,0,0,0,
63,378,0,0,0.1,
20,28,0,3,0,
9,23,0,0,0,
7284,7732,7,30,-1,
63,378,0,0,0.1,
9,23,0,0,0.5,
4198,960,16,20,0.1,
9,23,0,0,0.5,
73922,38390,60,154,0,
366,566,0,0,-0.25,
4012,4850,0,0,-0.3125,
28561,2503,0,0,0,
2223,851,1,3,-0.05,
352,78,0,2,0,
72,215,0,0,0.188095238,
1,56,0,0,0,
11807,12812,3,17,0,
222,330,0,0,-0.15,
9,23,0,1,0,
12289,12626,0,0,0,
53888,12975,0,0,-0.3125,
1,59,0,0,0,
2403,2401,0,0,-0.3125,
10240,10124,0,0,-0.3125,
175,515,0,3,-0.125,
141198,290,165,567,0,
109860,45852,183,532,0,
19276,1094,146,216,0.1,
6033,6338,6,10,-0.4,
44,42,0,0,0.166666667,
1529,1783,1,6,0.1,
28057,2065,8,16,0.3,
111,1287,0,0,0.3,
467,89,0,3,0,
15616,15897,16,17,0,
2504,3097,0,1,0,
