followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
3802,1985,5,10,0.0,0
171,177,1,9,0.675,2
3094,3639,0,1,0.0,0
2108,448,2,4,0.25,0
318980,74,13,97,0.0,0
200072,25894,2,5,0.1,0
36920,2121,14,11,0.0,0
223,806,0,0,-0.1125,0
1043,1709,0,4,0.0,0
4227,4920,0,0,0.5,1
0,21,0,0,0.0,0
2561,148,3,16,-0.4,2
3792,384,0,0,0.0,0
356,1164,0,0,0.05,0
169,837,0,0,0.1,0
1332,1166,2,3,-0.225,0
1933,2171,0,0,0.0,2
19,37,0,0,0.3046875,2
291,257,0,0,0.3,2
28,253,0,0,0.1,2
77780,7060,36,93,0.4,2
10,57,0,0,-0.5,2
6333,6092,0,5,0.0,0
291,257,0,0,0.2,0
120,515,0,0,0.0,0
216,130,1,0,0.2375,1
1431,683,0,0,0.0,0
8,41,0,0,0.13636363636363635,1
307731,2046,621,1401,0.4,2
16430,16030,3,3,0.0,0
645,1406,0,0,0.0,2
890,746,17,28,0.25,2
105,416,0,1,0.0,0
62,243,0,0,0.13636363636363635,1
10,57,0,0,-0.5,2
2012,762,0,1,0.0,0
12,60,0,2,0.0,0
22,38,0,0,0.0,2
1530,2573,0,0,-0.2916666666666667,1
2812,4127,2,26,0.25,0
19,57,0,0,0.0,2
907,1283,0,0,0.3,2
111550,368,6,27,0.10000000000000002,0
442,877,0,2,0.0,0
619,836,0,1,-0.21944444444444444,2
11882,12332,0,1,0.13636363636363635,1
925,425,0,0,0.13333333333333333,0
105,303,0,0,0.6,2
1449,8,0,0,0.0,0
12,60,0,1,0.0,0
30777,26200,28,62,0.0,0
12,60,0,1,0.0,0
3,12,0,0,0.0,0
371,456,0,0,0.0,0
44769,971,4,18,0.0,0
175,484,0,1,0.0,2
83413,76918,3,3,0.0,1
635,298,0,13,0.39166666666666666,2
62,19,0,0,0.03392857142857142,1
184,288,1,1,0.0,0
25980,27616,0,1,0.0,0
661,1131,0,0,0.0,1
12,34,0,0,0.0,0
25,146,0,0,0.2,0
4265,3992,0,3,-0.2916666666666667,1
10,61,1,4,0.07500000000000001,1
7974,8764,0,0,0.0,0
395,5000,0,0,0.5,1
994,883,0,0,-0.4,2
212,159,0,1,0.2125,1
401,813,0,2,0.0,0
2991,687,1,1,0.1,0
43,50,0,0,0.11818181818181818,1
1637,4023,2,2,0.0,0
231,257,0,1,0.0,0
217,98,0,0,0.2,2
62,410,0,0,0.0,0
1492,704,4,11,-0.2,0
13823,12105,7,30,0.0,0
3646,4722,0,3,0.1,0
27718,18279,3,17,0.03333333333333333,0
19,35,0,0,0.0,0
41,255,0,2,0.0,0
27,247,0,0,0.0,2
100,254,0,0,0.25,2
113,114,0,0,-0.2916666666666667,1
3,57,0,0,0.0,0
1085,1931,1,0,0.0,1
108,267,0,0,-0.2,1
10,141,0,5,-0.4,1
26,150,0,0,0.2,0
793,2078,0,0,0.1,0
4556,382,9,23,0.3,0
78201,732,0,0,-0.03055555555555556,0
0,5,0,0,0.0625,2
6079,3729,0,0,0.25,0
3828,4951,4,17,0.2,2
561,1575,1,0,0.0,0
16489,684,0,0,0.0,0
7987,7783,0,0,0.3,2
471,490,1,3,0.05000000000000002,1
716,167,0,1,0.16477272727272724,0
666,885,0,0,0.078125,1
732,714,0,0,0.2,0
147,389,0,0,0.3,2
2835,439,0,2,-0.05833333333333333,1
6052,6034,1,6,0.625,2
154,453,0,0,0.0,0
59,410,0,0,0.0,0
7567,8315,11,26,0.0,0
173,176,0,0,0.0,0
29,185,0,1,-0.2333333333333333,2
1349,4229,0,1,0.0,0
263,266,0,0,0.0,0
732,714,0,0,0.3,2
477,488,0,0,0.03333333333333333,1
773,1325,0,0,0.15000000000000002,1
1,33,0,1,0.0,0
211300,984,0,4,-0.5,2
110,291,0,0,-0.4,0
81757,101,2,26,0.1944444444444444,2
2389,2761,1,6,0.0,0
834,206,0,0,0.43333333333333335,2
788,29,8,17,0.0,0
371,180,0,7,0.2833333333333333,1
212,189,0,0,0.3,2
233,277,0,0,0.0,0
33,496,0,0,-0.3888888888888889,2
1694,1708,0,0,0.125,0
233,277,0,0,0.0,0
233,277,0,0,0.0,0
158,79,0,0,0.0,2
729,465,0,1,0.0,0
6,4,0,0,0.0,0
4880,3849,1,1,0.05,2
1971,810,1,4,0.18828125,0
335,200,0,0,0.0,0
4647,477,8,8,0.0,0
154,278,0,0,-0.3,0
6103,6206,36,23,0.0,0
1786,549,0,0,0.3,2
732,714,0,0,0.25,0
4133,946,1,1,0.0,0
21663,1090,0,0,0.0,0
17,2,0,0,0.0,0
110,125,1,2,0.15,0
1680,1911,0,0,0.3,2
217,997,0,0,0.3,2
137,224,1,3,-0.1,0
4389,1398,1,0,0.1,0
8356,2728,1,0,0.1,0
4759,3238,0,0,0.1,0
1379,2442,1,2,-0.5,2
116,576,0,1,0.2,0
26533,4045,2,5,-0.6,2
206,1411,0,0,-0.1,2
126,727,0,0,0.0,0
1423,2321,0,0,0.25,1
384,206,0,0,0.0,2
14463,803,0,1,0.0,0
527,89,0,7,0.26666666666666666,2
11,145,0,0,0.13636363636363635,1
14362,3370,4,14,0.3,1
248,264,0,3,0.425,1
8271,3436,0,3,0.0,0
718,1758,0,1,0.0,0
3334,2760,0,1,0.0,0
84405,5631,138,658,0.0,0
9300,4062,0,2,0.3,1
608,764,0,0,-0.07142857142857142,0
109435,356,17,61,0.05000000000000002,1
63,54,0,0,0.0,0
2154,475,3,5,0.3,2
13,21,0,0,0.0,0
233,463,0,0,0.0,0
26,100,1,1,0.0,2
12123,1163,0,0,0.21666666666666667,1
7846,6683,0,0,-0.5,1
90,356,0,0,0.3,2
69,471,0,0,0.0,0
146,30,0,2,0.16666666666666666,0
748,147,1,1,-0.06000000000000001,2
6625,3727,5,5,0.0,0
1572681,1775,733,3360,0.55,2
98,219,0,0,0.0,0
2649,4567,0,0,0.03125,0
3301,3009,0,0,0.0,0
163,960,0,0,0.0,0
1228,990,0,0,0.1,0
103332,5077,1068,6581,-0.25,1
116098,246,2,4,-0.025,0
687037,1302,1073,4179,0.04545454545454545,0
321,1151,0,0,0.6,1
11374,1182,73,535,0.0,1
3341,3765,1,0,0.3,2
409,917,0,0,0.0,0
27,212,0,0,0.0,0
27983,6635,0,4,0.1,0
